"Prescott, AZ",39140,211033,188515,1267,3549,1785,213,5358,28728,89.3,0.6,1.7,0.8,0.1,2.5,13.6
"Providence-New Bedford-Fall River, RI-MA",39300,1600852,1341663,78021,8178,40699,759,49197,163675,83.8,4.9,0.5,2.5,0,3.1,10.2
"Provo-Orem, UT",39340,526810,471606,2824,3164,7054,3920,14186,56172,89.5,0.5,0.6,1.3,0.7,2.7,10.7
"Pueblo, CO",39380,159063,126229,3222,3055,1258,160,5854,65811,79.4,2,1.9,0.8,0.1,3.7,41.4
"Punta Gorda, FL",39460,159978,144059,9089,417,1912,59,2675,9213,90,5.7,0.3,1.2,0,1.7,5.8
"Racine, WI",39540,195408,155731,21767,781,2121,53,4909,22546,79.7,11.1,0.4,1.1,0,2.5,11.5
"Raleigh-Cary, NC",39580,1130490,762898,228268,5771,49862,450,26994,114512,67.5,20.2,0.5,4.4,0,2.4,10.1
"Rapid City, SD",39660,126382,107755,1369,10345,1217,99,4588,4817,85.3,1.1,8.2,1,0.1,3.6,3.8
"Reading, PA",39740,411442,342148,20143,1285,5385,128,10252,67355,83.2,4.9,0.3,1.3,0,2.5,16.4
"Redding, CA",39820,177223,153726,1548,4950,4391,271,7836,14878,86.7,0.9,2.8,2.5,0.2,4.4,8.4
"Reno-Sparks, NV",39900,425417,327763,9854,7273,21856,2557,16031,93952,77,2.3,1.7,5.1,0.6,3.8,22.1
"Richmond, VA",40060,1258251,779786,375427,5480,39265,757,28592,63289,62,29.8,0.4,3.1,0.1,2.3,5
"Riverside-San Bernardino-Ontario, CA",40140,4224851,2488308,322405,46399,259071,13744,207028,1996402,58.9,7.6,1.1,6.1,0.3,4.9,47.3
"Roanoke, VA",40220,308707,253645,39603,727,5007,104,5614,9713,82.2,12.8,0.2,1.6,0,1.8,3.1
"Rochester, MN",40340,186011,163899,7010,445,7993,70,3669,7588,88.1,3.8,0.2,4.3,0,2,4.1
"Rochester, NY",40380,1054323,854652,122611,3104,26844,302,24490,64719,81.1,11.6,0.3,2.5,0,2.3,6.1
"Rockford, IL",40420,349431,274376,37172,1163,7496,94,9743,43144,78.5,10.6,0.3,2.1,0,2.8,12.3
"Rocky Mount, NC",40580,152392,75454,68085,826,860,34,2130,8119,49.5,44.7,0.5,0.6,0,1.4,5.3
"Rome, GA",40660,96317,74055,13640,344,1253,116,1799,8987,76.9,14.2,0.4,1.3,0.1,1.9,9.3
"Sacramento--Arden-Arcade--Roseville, CA",40900,2149127,1389804,158426,21603,255995,15840,127233,433734,64.7,7.4,1,11.9,0.7,5.9,20.2
"Saginaw-Saginaw Township North, MI",40980,200169,149272,38114,877,2108,65,4976,15573,74.6,19,0.4,1.1,0,2.5,7.8
"St. Cloud, MN",41060,189093,174610,5407,632,3407,65,2950,4822,92.3,2.9,0.3,1.8,0,1.6,2.6
"St. George, UT",41100,138115,123914,790,1869,982,1078,3169,13486,89.7,0.6,1.4,0.7,0.8,2.3,9.8
"St. Joseph, MO-KS",41140,127329,114887,6436,585,845,200,2657,5348,90.2,5.1,0.5,0.7,0.2,2.1,4.2
"St. Louis, MO-IL \3",41180,2812896,2153118,516446,6811,60072,1037,51122,72019,76.5,18.4,0.2,2.1,0,1.8,2.6
"Salem, OR",41420,390738,311464,3795,6575,7430,2539,15075,85682,79.7,1,1.7,1.9,0.6,3.9,21.9
"Salinas, CA",41500,415057,230717,12785,5464,25258,2071,21357,230003,55.6,3.1,1.3,6.1,0.5,5.1,55.4
"Salisbury, MD",41540,125203,81954,35065,321,2655,54,2911,5341,65.5,28,0.3,2.1,0,2.3,4.3
"Salt Lake City, UT",41620,1124197,921768,16964,9842,34807,16039,34510,186866,82,1.5,0.9,3.1,1.4,3.1,16.6
"San Angelo, TX",41660,111823,91533,4456,884,1121,100,3165,39722,81.9,4,0.8,1,0.1,2.8,35.5
"San Antonio-New Braunfels, TX",41700,2142508,1617352,141468,17322,45330,2681,69992,1158148,75.5,6.6,0.8,2.1,0.1,3.3,54.1
"San Diego-Carlsbad-San Marcos, CA",41740,3095313,1981442,158213,26340,336091,15337,158425,991348,64,5.1,0.9,10.9,0.5,5.1,32
"Sandusky, OH",41780,77079,67066,6644,232,463,8,2142,2604,87,8.6,0.3,0.6,0,2.8,3.4
"San Francisco-Oakland-Fremont, CA",41860,4335391,2239519,363905,24774,1005823,31832,239784,938794,51.7,8.4,0.6,23.2,0.7,5.5,21.7
"San Jose-Sunnyvale-Santa Clara, CA",41940,1836911,871797,46911,13855,571967,7154,89950,510396,47.5,2.6,0.8,31.1,0.4,4.9,27.8
"San Luis Obispo-Paso Robles, CA",42020,269637,222756,5550,2536,8507,389,10113,55973,82.6,2.1,0.9,3.2,0.1,3.8,20.8
"Santa Barbara-Santa Maria-Goleta, CA",42060,423895,295124,8513,5485,20665,806,19442,181687,69.6,2,1.3,4.9,0.2,4.6,42.9
"Santa Cruz-Watsonville, CA",42100,262382,190208,2766,2253,11112,349,12318,84092,72.5,1.1,0.9,4.2,0.1,4.7,32
"Santa Fe, NM",42140,144170,109800,1239,4486,1672,108,5135,73015,76.2,0.9,3.1,1.2,0.1,3.6,50.6
"Santa Rosa-Petaluma, CA",42220,483878,371412,7610,6489,18341,1558,21502,120430,76.8,1.6,1.3,3.8,0.3,4.4,24.9
"Savannah, GA",42340,347611,207446,117726,945,7224,305,7437,17207,59.7,33.9,0.3,2.1,0.1,2.1,5
"Scranton--Wilkes-Barre, PA",42540,563631,515784,16398,942,6874,115,8458,32610,91.5,2.9,0.2,1.2,0,1.5,5.8
"Seattle-Tacoma-Bellevue, WA",42660,3439809,2474896,191967,36819,392961,28209,183868,309476,71.9,5.6,1.1,11.4,0.8,5.3,9
"Sebastian-Vero Beach, FL",42680,138028,116346,12397,408,1666,51,2251,15465,84.3,9,0.3,1.2,0,1.6,11.2
"Sheboygan, WI",43100,115507,103861,1684,444,5310,35,1876,6329,89.9,1.5,0.4,4.6,0,1.6,5.5
"Sherman-Denison, TX",43300,120877,101371,7081,1835,1046,41,3242,13688,83.9,5.9,1.5,0.9,0,2.7,11.3
"Shreveport-Bossier City, LA",43340,398604,224828,155174,1937,4652,300,6618,13816,56.4,38.9,0.5,1.2,0.1,1.7,3.5
"Sioux City, IA-NE-SD",43580,143577,119503,3229,2923,3193,166,4079,22339,83.2,2.2,2,2.2,0.1,2.8,15.6
"Sioux Falls, SD",43620,228261,205931,6755,4514,2996,146,4632,7746,90.2,3,2,1.3,0.1,2,3.4
"South Bend-Mishawaka, IN-MI",43780,319224,256468,36779,1534,5375,204,9258,20965,80.3,11.5,0.5,1.7,0.1,2.9,6.6
"Spartanburg, SC",43900,284307,205680,58565,764,5746,86,4752,16658,72.3,20.6,0.3,2,0,1.7,5.9
"Spokane, WA",44060,471221,420275,8056,7295,9957,1902,17856,21260,89.2,1.7,1.5,2.1,0.4,3.8,4.5
"Springfield, IL",44100,210170,177486,23411,426,3250,49,4455,3601,84.4,11.1,0.2,1.5,0,2.1,1.7
"Springfield, MA",44140,692942,562069,46365,2413,17198,299,18704,106481,81.1,6.7,0.3,2.5,0,2.7,15.4
"Springfield, MO",44180,436712,405971,8937,2930,5147,385,9873,11592,93,2,0.7,1.2,0.1,2.3,2.7
"Springfield, OH",44220,138333,119440,12128,351,858,51,3509,3805,86.3,8.8,0.3,0.6,0,2.5,2.8
"State College, PA",44300,153990,137625,4638,191,7986,48,2360,3690,89.4,3,0.1,5.2,0,1.5,2.4
